감정단어,V,A,D
가련하다,0.088,0.464,0.139
가소롭다,0.592,0.627,0.298
가엾다,0.156,0.358,0.087
가증스럽다,0.146,0.657,0.471
가책,0.135,0.77,0.352
갈등하다,0.335,0.906,0.471
감개,0.885,0.441,0.61
감격하다,0.592,0.38,0.404
감동하다,0.458,0.569,0.578
감명,0.684,0.557,0.577
감미롭다,0.668,0.418,0.382
감탄하다,0.939,0.771,0.765
감회,0.721,0.415,0.563
거부감,0.247,0.673,0.353
거북하다,0.188,0.61,0.214
걱정하다,0.245,0.776,0.267
겁나다,0.146,0.828,0.185
격노하다,0.039,0.908,0.548
격동되다,0.444,0.882,0.491
격분하다,0.062,0.953,0.598
격정,0.854,0.865,0.728
격하다,0.592,0.774,0.679
겸연쩍다,0.326,0.441,0.205
경멸하다,0.153,0.446,0.441
경악하다,0.51,0.775,0.574
경애하다,0.908,0.441,0.853
경외하다,0.469,0.74,0.3
경쾌하다,0.99,0.72,0.696
경탄하다,0.867,0.692,0.704
고뇌하다,0.02,0.719,0.235
고독하다,0.25,0.226,0.238
고립감,0.198,0.204,0.367
고맙다,0.969,0.344,0.714
고무되다,0.953,0.702,0.657
고민하다,0.245,0.776,0.267
곤혹스럽다,0.312,0.705,0.318
골나다,0.104,0.783,0.345
공감하다,0.802,0.591,0.66
공포,0.073,0.84,0.293
공허하다,0.188,0.183,0.081
괘씸하다,0.12,0.608,0.324
괴롭다,0.143,0.771,0.324
구슬프다,0.18,0.441,0.188
굴욕,0.048,0.712,0.31
권태롭다,0.153,0.167,0.196
귀찮다,0.24,0.542,0.153
그립다,0.573,0.49,0.408
근심걱정,0.281,0.875,0.434
근심하다,0.245,0.776,0.267
긍지,0.729,0.634,0.848
기겁하다,0.333,0.865,0.526
기고만장하다,0.115,0.755,0.58
기막히다,0.844,0.802,0.821
기쁘다,1.0,0.735,0.772
기절초풍하다,0.312,0.802,0.342
기죽다,0.235,0.346,0.175
긴장하다,0.396,0.439,0.655
꺼리다,0.427,0.442,0.415
꺼림직하다,0.333,0.542,0.321
께름직하다,0.115,0.598,0.349
끔찍하다,0.061,0.849,0.604
낙,0.939,0.74,0.682
낙담하다,0.22,0.304,0.09
낙심하다,0.153,0.343,0.238
남부끄럽다,0.06,0.67,0.155
남부럽다,0.11,0.754,0.341
낭패스럽다,0.226,0.809,0.225
낯간지럽다,0.156,0.588,0.228
낯뜨겁다,0.04,0.68,0.264
노발대발,0.094,0.892,0.43
노심초사하다,0.235,0.82,0.213
노하다,0.122,0.83,0.604
놀라다,0.784,0.855,0.539
놀랍다,0.888,0.79,0.692
눈물겹다,0.208,0.5,0.184
뉘우치다,0.449,0.422,0.386
달가워하다,0.939,0.548,0.795
담담하다,0.875,0.1,0.282
답답하다,0.08,0.651,0.255
당혹하다,0.22,0.65,0.179
당황하다,0.316,0.903,0.283
덤덤하다,0.396,0.157,0.25
도취하다,0.079,0.824,0.246
동감하다,0.77,0.627,0.644
동경하다,0.592,0.491,0.491
동요하다,0.344,0.657,0.333
동정하다,0.77,0.627,0.644
두렵다,0.01,0.775,0.245
들뜨다,0.908,0.931,0.709
따분하다,0.194,0.217,0.125
떨떠름하다,0.296,0.65,0.358
떫다,0.276,0.594,0.373
떳떳하다,0.963,0.412,0.83
뜨끔하다,0.333,0.865,0.526
마땅찮다,0.042,0.643,0.178
막막하다,0.104,0.42,0.214
만족하다,0.959,0.51,0.685
망설이다,0.459,0.548,0.232
망연자실하다,0.12,0.544,0.264
매료되다,0.812,0.714,0.788
매혹,0.816,0.775,0.647
맥빠지다,0.125,0.317,0.191
머쓱하다,0.184,0.56,0.246
멋쩍다,0.4,0.406,0.217
무감동하다,0.184,0.355,0.36
무덤덤하다,0.396,0.157,0.25
무력감,0.087,0.48,0.25
무료하다,0.153,0.167,0.196
무색하다,0.184,0.56,0.246
무섭다,0.062,0.952,0.528
무시무시하다,0.031,0.836,0.602
무안하다,0.104,0.712,0.216
뭉클하다,0.592,0.38,0.404
미안하다,0.406,0.362,0.212
민망하다,0.184,0.56,0.246
밉다,0.156,0.406,0.321
박진감,0.896,0.684,0.731
반감,0.198,0.549,0.393
반갑다,0.938,0.76,0.74
반하다,0.796,0.842,0.5
반항심,0.122,0.775,0.465
발끈하다,0.558,0.823,0.508
배신감,0.122,0.769,0.308
